Step,Train,Test
500,1.0012199699878692,0.44762635714129395
1000,0.6819530883505941,0.3323222671449184
1500,0.5553225050891439,0.336816182512986
2000,0.48937500080280005,0.3125949997729377
2500,0.45133146519735456,0.30317508123422926
3000,0.4227344374998162,0.3003954040729686
3500,0.40373099019644515,0.29312500521148505
4000,0.38784324525250125,0.26814662385928
4500,0.37480311669202315,0.26876199477597285
5000,0.36399604376330974,0.26926591520638843
5500,0.354683264079419,0.2789323503524065
6000,0.34733649241769066,0.25714405008052527
6500,0.34005443726193446,0.2528083572340639
7000,0.3334239157427635,0.2707381053974754
7500,0.3278275946823259,0.24263855353389915
8000,0.24151191469281913,0.25043801583153635
8500,0.23668666180036962,0.2549215139331002
9000,0.23576842600479722,0.2304092286036987
9500,0.22966320990771055,0.23475074252996006
10000,0.2259312564574182,0.23621083258798248
10500,0.22583837783181418,0.2267627233678573
11000,0.22249454805387983,0.22622651715615863
11500,0.22214272616966627,0.22689234314780488
12000,0.22174359134439792,0.2190648454329685
12500,0.22168813812844454,0.22105397649893635
13000,0.22127003983154214,0.21592021155514216
13500,0.21976956447275978,0.21188756471401768
14000,0.21961146597120051,0.2106669274854817
14500,0.21872672686872205,0.2233148989630373
15000,0.21792307404478392,0.21933743179628723
15500,0.211563601821661,0.22533690414342442
16000,0.2029766712784767,0.21772686030323568
16500,0.2042924487007161,0.20856351535767317
17000,0.20450325075071304,0.2110950952846753
17500,0.20195160874128343,0.22451210336857721
18000,0.1990132898542409,0.21593653597917997
18500,0.19830969130513923,0.22595964430978424
19000,0.19786436109943314,0.20994823862259326
19500,0.1980395773736139,0.20582177389217052
20000,0.19796284353099763,0.1993289859259599
20500,0.19722397078150375,0.20921668825180906
21000,0.19730162933763737,0.20672225644517886
21500,0.19619195277315493,0.20262052460720664
22000,0.19612320286567722,0.19723260332291062
22500,0.19589904986011486,0.2126666761875937
23000,0.204679048338905,0.19732050729621398
23500,0.1939434994533658,0.20235024169283478
24000,0.18945690159872175,0.20601670834578967
24500,0.18914630065718666,0.20110374953793853
25000,0.18635591339506208,0.2119459783501531
25500,0.18577522771805524,0.19133658758903804
26000,0.18522324869941387,0.20818680035244477
26500,0.18400091372057795,0.2093096955434272
27000,0.18436231408951184,0.20341708354063726
27500,0.1820729596728459,0.20427029018339357
28000,0.1823020596853034,0.19842858586264284
28500,0.18186083898305272,0.1961641798815445
29000,0.18193409755123924,0.19633667880375133
29500,0.1823030451133049,0.20639365198384774
30000,0.18161557870482406,0.19865838602087216
