Step,Train,Test
500,0.35425,0.8357894736842105
1000,0.6139375,0.88
1500,0.7056666666666667,0.8982894736842105
2000,0.75459375,0.9025
2500,0.783,0.9055263157894737
3000,0.8028958333333334,0.9025
3500,0.8181785714285714,0.9075
4000,0.828859375,0.8961842105263158
4500,0.8374305555555556,0.9011842105263158
5000,0.8447625,0.9117105263157895
5500,0.8507272727272728,0.9092105263157895
6000,0.8557708333333334,0.9142105263157895
6500,0.8601538461538462,0.9151315789473684
7000,0.8639464285714286,0.9163157894736842
7500,0.867425,0.9180263157894737
8000,0.914125,0.9155263157894736
8500,0.91625,0.9163157894736842
9000,0.9183333333333333,0.9113157894736842
9500,0.91809375,0.9180263157894737
10000,0.91775,0.9190789473684211
10500,0.9172916666666666,0.9167105263157894
11000,0.9180892857142857,0.9157894736842105
11500,0.918546875,0.9193421052631578
12000,0.9184583333333334,0.9202631578947369
12500,0.9189625,0.9206578947368421
13000,0.9188977272727272,0.9142105263157895
13500,0.919125,0.9192105263157895
14000,0.9193365384615385,0.9218421052631579
14500,0.9191160714285714,0.9210526315789473
15000,0.919075,0.9217105263157894
15500,0.91975,0.9175
16000,0.9195,0.921578947368421
16500,0.9220416666666666,0.9244736842105263
17000,0.92253125,0.920921052631579
17500,0.92315,0.9256578947368421
18000,0.9236458333333334,0.9221052631578948
18500,0.9242678571428572,0.9246052631578947
19000,0.924625,0.9230263157894737
19500,0.9244444444444444,0.9281578947368421
20000,0.9249375,0.9296052631578947
20500,0.92575,0.9280263157894737
21000,0.926125,0.9281578947368421
21500,0.9266153846153846,0.9269736842105263
22000,0.9269910714285714,0.9243421052631579
22500,0.9276,0.9275
23000,0.923,0.9281578947368421
23500,0.9269375,0.9305263157894736
24000,0.928625,0.9273684210526316
24500,0.9295625,0.924078947368421
25000,0.929775,0.9276315789473685
25500,0.9306875,0.9315789473684211
26000,0.9305892857142857,0.930921052631579
26500,0.93096875,0.9302631578947368
27000,0.9318194444444444,0.9319736842105263
27500,0.9321125,0.9328947368421052
28000,0.9322727272727273,0.9339473684210526
28500,0.9324375,0.9311842105263158
29000,0.9328653846153846,0.9334210526315789
29500,0.9333928571428571,0.9288157894736843
30000,0.9335583333333334,0.9343421052631579
