Step,Train,Test
500,0.621625,0.886578947368421
1000,0.7591875,0.8982894736842105
1500,0.8082083333333333,0.8969736842105264
2000,0.83221875,0.9064473684210527
2500,0.84875,0.9077631578947368
3000,0.8594583333333333,0.9121052631578948
3500,0.8662142857142857,0.9075
4000,0.872515625,0.9132894736842105
4500,0.8769722222222223,0.9148684210526316
5000,0.8813875,0.9167105263157894
5500,0.8845113636363636,0.9157894736842105
6000,0.8872604166666667,0.9172368421052631
6500,0.8898461538461538,0.915921052631579
7000,0.8917410714285714,0.9203947368421053
7500,0.8933833333333333,0.9197368421052632
8000,0.920875,0.9202631578947369
8500,0.9204375,0.9213157894736842
9000,0.9216666666666666,0.9234210526315789
9500,0.921875,0.9227631578947368
10000,0.92265,0.9246052631578947
10500,0.9241666666666667,0.9252631578947368
11000,0.9253035714285714,0.9225
11500,0.925671875,0.9225
12000,0.9262083333333333,0.9263157894736842
12500,0.9266625,0.9294736842105263
13000,0.9268522727272728,0.9292105263157895
13500,0.9270729166666667,0.9277631578947368
14000,0.9274615384615384,0.9272368421052631
14500,0.9279107142857143,0.9307894736842105
15000,0.92865,0.935
15500,0.9355,0.93
16000,0.9340625,0.9326315789473684
16500,0.9339166666666666,0.9327631578947368
17000,0.9358125,0.9334210526315789
17500,0.935325,0.9317105263157894
18000,0.9355208333333334,0.935
18500,0.9361785714285714,0.9363157894736842
19000,0.9373125,0.9346052631578947
19500,0.9378333333333333,0.9322368421052631
20000,0.938075,0.9346052631578947
20500,0.9383636363636364,0.9335526315789474
21000,0.93865625,0.9336842105263158
21500,0.9385576923076923,0.9357894736842105
22000,0.9380446428571428,0.935921052631579
22500,0.938075,0.9365789473684211
23000,0.932375,0.9380263157894737
23500,0.9400625,0.9372368421052631
24000,0.9404166666666667,0.9373684210526316
24500,0.940625,0.9377631578947369
25000,0.940675,0.9389473684210526
25500,0.9418541666666667,0.9392105263157895
26000,0.9428392857142858,0.935921052631579
26500,0.943015625,0.9396052631578947
27000,0.9427361111111111,0.9381578947368421
27500,0.9428,0.9353947368421053
28000,0.943,0.9373684210526316
28500,0.9434270833333334,0.939078947368421
29000,0.9435,0.9403947368421053
29500,0.943625,0.94
30000,0.9437083333333334,0.9417105263157894
