Step,Train,Test
500,0.9371719274222851,0.3737094899855162
1000,0.6368112908266484,0.3220275348817047
1500,0.5269758030300339,0.3100171673690018
2000,0.46841701690666376,0.28821052874781583
2500,0.4305455505549908,0.28974098674952986
3000,0.4052711688627799,0.2776572706511146
3500,0.3865662099133645,0.2722339727062928
4000,0.37170960135199127,0.27403936988821154
4500,0.35873631026471653,0.2769947746278424
5000,0.34850290931873024,0.2649333095746605
5500,0.3400910963941027,0.25199230528583655
6000,0.3333359534141297,0.24640695542489227
6500,0.32679173971540654,0.25349955988557715
7000,0.3199058003202081,0.24125816307961942
7500,0.3147349100564917,0.2275506720162536
8000,0.23311959923803807,0.23727219553174156
8500,0.22649330459535122,0.22598210299877744
9000,0.22611376633743446,0.2298124039937791
9500,0.2243831234993413,0.22470093763776516
10000,0.22165479924343526,0.22520276644904363
10500,0.21897143751662224,0.21618630774123104
11000,0.21693174450844527,0.22035500346241813
11500,0.21740138196013867,0.2210737171298579
12000,0.21667764125019312,0.2167745622384705
12500,0.216325128570199,0.21608636346498603
13000,0.21495377224006437,0.20955591408437804
13500,0.21392570287780835,0.22168801639425126
14000,0.2128609150999154,0.23587673508807233
14500,0.21307798795215785,0.20477170459533992
15000,0.21230382897170882,0.2086829863978844
15500,0.20648722318187357,0.21918641521742468
16000,0.208240000939928,0.2005825444546185
16500,0.20209647204664846,0.20400419726771743
17000,0.20087952134991063,0.2027949406853632
17500,0.19575607511810958,0.20305577363818883
18000,0.1949224046394229,0.20453988996775527
18500,0.19450622056531056,0.20455438059803688
19000,0.1946787792504765,0.20116299000617704
19500,0.19375225339912705,0.20013964426752767
20000,0.1929951828520745,0.19884037571321977
20500,0.19187036376344888,0.20689217706848131
21000,0.1918478986993432,0.1958760960262857
21500,0.19046810768372738,0.19763369700234187
22000,0.1903848285901227,0.1973131593179546
22500,0.1904362869568169,0.19742022235338624
23000,0.20181569300964475,0.19412132769627005
23500,0.18332747541554273,0.19799674590559382
24000,0.17920819103096922,0.1959583393131432
24500,0.17597703035734594,0.19641800102630727
25000,0.17719973030537367,0.19472140119264
25500,0.17753320245537907,0.19249884523451327
26000,0.1770152103781168,0.19933158467670806
26500,0.1769955104032997,0.19390922140330077
27000,0.1783508517243382,0.19143716130405664
27500,0.1776215416232124,0.192769815692384
28000,0.1766698611531068,0.2138126277178526
28500,0.17568191681383177,0.1975101356149504
29000,0.1750626152081845,0.19675131655641293
29500,0.1745432439684602,0.19177510581714544
30000,0.1744138818151007,0.18998807199103268
