Step,Train,Test
500,0.252875,0.25
1000,0.30775,0.7935526315789474
1500,0.49366666666666664,0.883421052631579
2000,0.59196875,0.8940789473684211
2500,0.652275,0.8973684210526316
3000,0.6944375,0.9006578947368421
3500,0.7251785714285715,0.900921052631579
4000,0.7488125,0.91
4500,0.7665972222222223,0.9157894736842105
5000,0.7806375,0.905921052631579
5500,0.7932840909090909,0.9168421052631579
6000,0.8037083333333334,0.9171052631578948
6500,0.8123846153846154,0.9181578947368421
7000,0.8199642857142857,0.9178947368421052
7500,0.8263833333333334,0.9218421052631579
8000,0.914125,0.9184210526315789
8500,0.91925,0.9188157894736843
9000,0.9215416666666667,0.9211842105263158
9500,0.92296875,0.9226315789473685
10000,0.923875,0.9253947368421053
10500,0.9241458333333333,0.9268421052631579
11000,0.9244285714285714,0.9280263157894737
11500,0.924859375,0.9273684210526316
12000,0.9251944444444444,0.9319736842105263
12500,0.92585,0.9302631578947368
13000,0.9264886363636363,0.9313157894736842
13500,0.92684375,0.9330263157894737
14000,0.9271923076923076,0.9335526315789474
14500,0.9275089285714285,0.9334210526315789
15000,0.927925,0.9339473684210526
15500,0.92425,0.9321052631578948
16000,0.93025,0.934078947368421
16500,0.933,0.9321052631578948
17000,0.93440625,0.9351315789473684
17500,0.93485,0.930921052631579
18000,0.9356875,0.9334210526315789
18500,0.9356964285714285,0.9348684210526316
19000,0.935875,0.9331578947368421
19500,0.9364166666666667,0.9360526315789474
20000,0.9369125,0.9365789473684211
20500,0.9372840909090909,0.9372368421052631
21000,0.9376041666666667,0.9381578947368421
21500,0.9379134615384616,0.9363157894736842
22000,0.938125,0.9365789473684211
22500,0.938125,0.9365789473684211
23000,0.926375,0.9371052631578948
23500,0.934125,0.9373684210526316
24000,0.9380416666666667,0.9385526315789474
24500,0.940125,0.9381578947368421
25000,0.94135,0.9381578947368421
25500,0.9412291666666667,0.9396052631578947
26000,0.9415,0.9397368421052632
26500,0.941625,0.9385526315789474
27000,0.9423888888888889,0.9384210526315789
27500,0.9424125,0.9371052631578948
28000,0.9425568181818181,0.94
28500,0.9425729166666666,0.9392105263157895
29000,0.942548076923077,0.9397368421052632
29500,0.9428928571428571,0.9394736842105263
30000,0.942975,0.9403947368421053
30500,0.937,0.9407894736842105
31000,0.9409375,0.9405263157894737
31500,0.9433333333333334,0.9405263157894737
32000,0.9448125,0.9414473684210526
32500,0.94555,0.940921052631579
33000,0.9455625,0.9410526315789474
33500,0.9454285714285714,0.940921052631579
34000,0.945609375,0.9410526315789474
34500,0.9458611111111112,0.9407894736842105
35000,0.945575,0.9411842105263157
35500,0.9456818181818182,0.9403947368421053
36000,0.9455416666666666,0.9407894736842105
36500,0.9455961538461538,0.9410526315789474
37000,0.9456964285714285,0.9410526315789474
37500,0.9457333333333333,0.9410526315789474
